part_id,part_name,part_number,component_name,vehicle_type,expected_demand,recommended_stock
103,Spark Plugs for Toyota RAV4 2020,TORA2004904,spark plugs,2020 Toyota RAV4,4,4
35,Batteries for Honda Odyssey 2015,HOOD1502566,batteries,2015 Honda Odyssey,4,5
225,Starters for Honda Odyssey 2015,HOOD1508312,starters,2015 Honda Odyssey,4,5
32,Batteries for Toyota RAV4 2020,TORA2002742,batteries,2020 Toyota RAV4,4,4
151,Oil Filters for Toyota RAV4 2020,TORA2006563,oil filters,2020 Toyota RAV4,4,4
168,Oil Filters for Honda Odyssey 2015,HOOD1506206,oil filters,2015 Honda Odyssey,4,5
74,Alternators for Honda Odyssey 2015,HOOD1503188,alternators,2015 Honda Odyssey,4,5
71,Alternators for Toyota RAV4 2020,TORA2003967,alternators,2020 Toyota RAV4,4,4
219,Starters for Toyota RAV4 2020,TORA2008532,starters,2020 Toyota RAV4,4,4
241,Water Pumps for Honda Odyssey 2015,HOOD1509948,water pumps,2015 Honda Odyssey,4,5
