part_id,part_name,part_number,expected_demand,current_stock,recommended_stock,retail_price,wholesale_price,demand_trend,priority
291,Fuel Pumps for Chevrolet Suburban 2021,CHSU2110122,234,195,277,110.49,88.39,increasing,high
292,Fuel Pumps for Hyundai Sonata 2017,HYSO1710274,1066,1003,995,89.61,71.69,stable,medium
293,Fuel Pumps for Audi Q5 2022,AUQ52210926,443,326,454,197.4,157.92,stable,medium
294,Fuel Pumps for Honda Odyssey 2015,HOOD1510251,493,416,569,143.02,114.41,stable,high
295,Fuel Pumps for Toyota RAV4 2020,TORA2010654,928,645,1067,315.61,252.49,stable,low
296,Fuel Pumps for Audi Q5 2020,AUQ52010853,661,674,712,373.89,299.11,stable,medium
297,Fuel Pumps for Hyundai Sonata 2023,HYSO2310491,254,264,244,400.33,320.26,decreasing,medium
298,Fuel Pumps for Hyundai Kona 2014,HYKO1410831,916,795,895,333.77,267.01,stable,low
299,Fuel Pumps for BMW X5 2022,BMX52210116,709,565,572,313.59,250.87,decreasing,medium
300,Fuel Pumps for Chevrolet Suburban 2022,CHSU2210972,1096,759,996,250.08,200.06,decreasing,high
